S.No,Train Number,Train Name,Departure Time,Arrival Time,Travel Time,Day of Service
1,16176,Karaikal to Chennai Egmore Express,00:42,05:15,4:33,Daily
2,16180,Mannargudi to Chennai Egmore Express,1:05,05:55,4:50,Daily
3,16852,Rameswaram to Chennai Egmore Express,2:15,06:35,4:20,Daily
4,22624,Madurai Junction to Chennai Egmore Superfast,3:15,07:15,4:00,Friday and Sunday only
5,16106,Tiruchendur to Chennai Egmore Express,7:14,11:25,4:11,Daily
6,15119,Rameswaram to Manduadih Express,8:35,12:40,4:05,Thursday only
7,16796,Cholan Express,13:15,17:50,4:35,Daily
8,16796,Cholan Express,13:25,17:50,4:25,Daily
9,16864,Mannargudi to Bhagat Ki Kothi Express,15:10,19:25,4:15,Monday only
10,11018,Karaikal to Lokmanya Tilak Term Express,5:10,21:45,4:35,Monday only
11,18495,Rameswaram to Bhubaneswar Weekly Express,5:10,22:05,4:55,Sunday only
12,16866,Uzhavan Express,11:45,04:25,4:40,Daily
