S.No,Train No,Train Name,Arrival to Viruthunagar,Departure from Viruthunagar,Day of Service
1,22621 Exp,Rameswaram - Kanniyakumari ,0.01,0.01,"Sun,Tue, Fri"
2,22668 Exp,Coimbatore - Nagercoil ,0.58,1.00,Daily
3,22670 Link.Exp,Coimbatore - Tuticorin,0.58,1.00,Daily
4,22629 Exp,Dadar - Tirunelveli (Dadar),1.20,1.22,Sun
5,12633 Exp,Chennai Egmore - Kanniyakumari,2.00,2.02,Daily
6,16105 Exp,Chennai Egmore - Thiruchendur (Chendur),2.48,2.50,Daily
7,12642 Exp,Nizamudhin - Kanniyakumari,3.18,3.20,"Wed, Mon"
8,12667 Exp,Chennai Egmore - Nagercoil,3.18,3.20,Friday
9,17235 Exp,Bangalore - Nagercoil,3.28,3.30,Daily
10,12693 Pearl City,Chennai Egmore - Tuticorin,4.00,4.02,Daily
11,19568 Exp,Okka - Tuticorin (Vivek),4.13,4.15,Sunday
12,12631 Exp,Chennai Egmore - Tirunelveli (Nellai),4.33,4.35,Daily
13,16723 Exp,Chennai Egmore - Kollam (Ananthapuri),4.58,5.00,Daily
14,12665 Exp,Howrah - Kanyakumari (Howrah),5.13,5.15,Wednesday
15,12661 Exp,Chennai Egmore - Sengottai (Pothigai),5.48,5.50,Daily
16,16181 Exp,Chennai Egmore - Sengottai (Silambu),6.08,6.10,"Thu,Sun"
17,12689 Exp,Chennai Central - Nagercoil,6.48,6.50,Saturday
18,16236 Exp,Mysore - Tuticorin (Mysore),8.05,8.07,Daily
19,11021 Exp,Dadar - Tirunelveli (Dadar),8.58,9.00,"Mon,Thu,Fri"
20,22627 Inter city,Trichy - Trivandram,10.03,10.05,Daily
21,16788/16318,Katra - Tirunelveli (Vaishnadevi Katra),15.33,15.35,Thursday
22,16353 Exp,Kacheguda - Nagercoil,15.48,15.50,Thursday
23,16127 Exp,Chennai Egmore - Guruvayur,16.53,16.55,Daily
24,16129 link Exp,Chennai Egmore - Tuticorin,16.53,16.55,Daily
25,16790/16688,Katra - Tirunelveli (Vaishnadevi Katra),19.45,19.47,Sunday
26,16861 Exp,Pondicherry - Kanniyakumari,21.58,22.00,Thursday
27,16735 Exp,Chennai - Tiruchendur ,3.40,3.42,Saturday
28,16351 Exp,Mumbai - Nagercoil ,1.20,1.22,"Thu,Mon"
29,22622 Exp,Kanniyakumari - Rameswaram ,1.13,1.15,"Wed,Sat,Mon"
30,16352 Exp,Nagercoil - Mumbai,8.38,8.40,"Thu,Sun"
31,22630 Exp,Tirunelveli - Dadar,8.38,8.40,Wednesday
32,16128 Exp,Guruvayur - Chennai,9.58,10.00,Daily
33,16130 Exp,Tuticorin - Chennai,9.58,10.00,Daily
34,16340 Exp,Nagarcoil - Mumbai,10.43,10.45,"Mon,Tue,Wed,Fri"
35,12666 Exp,Kanniyakumari - Gowra,11.33,11.35,Saturday
36,16354 Exp,Nagercoil - Kacheguda,11.33,11.35,Tuesday
37,22628 Exp,Trivandrum - Trichy,16.08,16.10,Daily
38,11022 Exp,Tirunelveli - Dadar,16.30,16.32,"Mon,Thu,Fri"
39,16862 Exp,Kanyakumari - Pondicherry,17.13,17.15,Friday
40,16787/16687 Exp,Tirunelveli - Jammu Tawi,17.43,17.45,Monday
41,16787/16317 Exp,Tirunelveli - Jammu Katra (Vaishnadevi),17.43,17.45,"Mon,Fri"
42,16182 Exp,Sengottai - Chennai (Silambu),18.18,18.20,"Sun,Thu"
43,16235 Exp,Tuticorin - Mysore,18.35,18.37,Daily
44,12668 Exp,Nagercoil - Chennai,20.15,20.17,Friday
45,12662 Exp,Sengottai - Chennai (Pothigai),20.25,20.27,Daily
46,12634 Exp,Kanniyakumari - Chennai (Kaniya),21.03,21.05,Daily
47,12632 Exp,Tirunelveli - Chennai (Nellai ),21.18,21.20,Daily
48,12694 Exp,Tuticorin - Chennai (Pearl City),21.53,21.55,Daily
49,16724 Exp,Kollam - Chennai (Ananthapuri),22.08,22.10,Daily
50,16106 Exp,Tiruchendhur - Chennai (Chendur),22.18,22.20,Daily
51,17236 Exp,Nagercoil - Bangalore ,22.40,22.42,Daily
52,12641 Exp,Kanniyakumari - Nijamudin (Thirukkural),23.05,23.07,"Wed,Fri"
53,12690 Exp ,Nagercoil - Chennai Central,23.05,23.07,Sunday
54,19567 Exp,Tuticorin - Okka (Vivek),23.40,23.42,Sunday
55,56700,Madurai - Punalur,23.55,23.57,Daily
56,56731,Madurai - Sengottai,8.00,8.02,Daily
57,56769,Palani - Tiruchendur,11.03,11.05,Daily
58,56733,Madurai - Sengottai,12.18,12.20,Daily
59,56320,Coimbatore - Nagercoil,15.18,15.20,Daily
60,56735,Madurai - Sengottai,17.58,18.00,Daily
61,56821 Link,Mayiladuthurai - Tirunelveli,18.48,18.50,Daily
62,56826,Erode - Tirunelveli,18.45,18.50,Daily
63,76837,Karaikudi - Virudhunagar,21.35,NA,Exept Sun
64,56701,Punalur - Madurai,3.13,3.15,Daily
65,76838,Virudhunagar - Karaikudi,NA,6.40,Exept Sun
66,53822 Link,Tirunelveli - Mayiladuthurai,8.03,8.05,Daily
67,56826,Tirunelveli - Erode,8.04,8.05,Daily
68,56732,Sengottai - Madurai,9.23,9.25,Daily
69,56319,Nagercoil - Coimbatore,11.43,11.45,Daily
70,56770,Tiruchendhur - Palani,14.38,14.40,Daily
71,56734,Sengottai - Madurai,14.28,14.30,Daily
72,56736,Sengottai - Madurai,18.00,18.02,Daily
