S.No,Train Name with Number Passing via Tiruchirappalli,Arrives,Departs,Stop time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Tiruchirappalli - Chennai Egmore MS Express (12653),Starts,18:00,NA,N,N,N,N,N,Y,N
2,Rameswaram Express (16701),5:20,5:30,10 min,Y,Y,Y,Y,Y,Y,Y
3,Rameswaram - Mas Chennai Central Express (06020),20:45,21:00,15 min,N,Y,N,N,N,N,N
4,Chennai Express (06748),23:45,0:05,20 min,N,N,N,N,N,N,Y
5,Tuticorin Express (06035),5:55,6:00,5 min,N,Y,N,N,N,N,N
6,Yesvantpur - Tiruchirappalli Express (06521),10:00,Ends,NA,N,N,N,N,N,Y,N
7,Chennai Express (16702),22:30,22:35,5 min,Y,Y,Y,Y,Y,Y,Y
8,Chennai Express (06040),20:40,20:55,15 min,N,N,N,Y,N,N,N
9,Tuticorin Express (06007),3:35,3:50,15 min,N,N,N,Y,N,N,N
10,Chennai Express (06008),20:45,21:00,15 min,N,N,N,N,Y,N,N
11,Coimbatore Express (06009),3:35,3:40,5 min,N,N,N,N,N,N,Y
12,Rameswaram - Mas Chennai Central Express (06010),20:55,21:05,10 min,N,N,N,N,Y,N,N
13,Tiruchendur Chennai Express (16736),3:25,3:30,5 min,Y,Y,Y,Y,Y,Y,Y
14,Tiruchendur Express (16735),23:35,23:40,5 min,Y,Y,Y,Y,Y,Y,Y
15,Tirunelveli Express (22627),Starts,7:15,NA,Y,Y,Y,Y,Y,Y,Y
16,Puducherry Cape - Kanniyakumari Express (06861),23:25,23:30,5 min,Y,N,N,N,N,N,N
17,Puducherry Express (06862),22:45,22:55,10 min,N,Y,N,N,N,N,N
18,TVC Vellankanni Express (06302),22:45,22:55,10 min,N,N,Y,N,N,N,N
19,Ernakulam Express (16865),20:00,20:10,10 min,Y,Y,Y,Y,Y,Y,Y
20,Velankanni Express (07315),14:00,14:30,30 min,N,N,N,N,Y,N,N
21,Vellankanni - Vasco-Da-Gama Express (07316),23:30,23:55,25 min,Y,N,N,Y,N,N,N
22,Sai Nagar Shirdi Tiruchirappalli Special (06805),15:15,Ends,NA,N,N,Y,N,N,N,N
23,Tiruchirappalli Express (06571),13:00,Ends,NA,Y,Y,Y,Y,Y,Y,Y
24,Tirunelveli Express (06751),16:55,17:00,5 min,N,N,N,N,Y,N,N
25,Nagercoil Express (06747),18:45,19:15,30 min,Y,N,N,N,N,N,N
26,Chennai Express (06310),2:55,3:00,5 min,N,N,N,N,N,N,Y
27,Chengalpattu - Coimbatore Express (06627),21:40,22:00,20 min,Y,N,Y,N,N,N,N
28,Chengalpattu - Coimbatore Express (06629),21:40,22:00,20 min,N,Y,N,N,Y,N,N
29,Chengalpattu - Coimbatore Express (06630),20:40,21:00,20 min,Y,N,N,Y,N,N,N
30,Coimbatore Express (06634),Starts,9:15,NA,N,N,N,Y,N,N,N
31,Coimbatore Tiruchirappalli Express (06635),8:15,Ends,NA,N,N,N,Y,N,N,N
32,Coimbatore Express (06636),Starts,9:15,NA,N,N,N,N,N,N,Y
33,Chengalpattu - Coimbatore Express (06631),21:40,22:00,20 min,N,N,N,N,N,N,Y
34,Chengalpattu - Coimbatore Express (06632),17:45,18:00,15 min,N,N,N,N,N,Y,N
35,Tiruchirappalli Express (06633),8:15,Ends,NA,N,N,Y,N,N,N,N
36,Pearl City Express (12693),1:10,1:15,5 min,Y,Y,Y,Y,Y,Y,Y
37,Pearl City Express (12694),1:25,1:30,5 min,Y,Y,Y,Y,Y,Y,Y
38,Coimbatore Express (16617),1:05,1:10,5 min,N,N,Y,N,N,N,N
39,Madurai Express (22623),5:55,6:00,5 min,N,N,N,N,Y,N,Y
40,Howrah Express (12664),Starts,16:00,NA,N,Y,N,N,Y,N,N
41,Vasco-Da-Gama - Vellankanni Express (07323),8:00,8:20,20 min,N,N,Y,N,N,N,N
42,Vellankanni - Vasco-Da-Gama Express (07324),1:00,1:20,20 min,N,N,N,Y,N,N,N
43,Trivandrum Express (06301),16:00,16:10,10 min,N,N,N,Y,N,N,N
44,Tiruchirappalli Express (22628),20:00,Ends,NA,Y,Y,Y,Y,Y,Y,Y
45,Pothigai Express (12662),0:15,0:20,5 min,Y,Y,Y,Y,Y,Y,Y
46,Pothigai Express (12661),2:35,2:40,5 min,Y,Y,Y,Y,Y,Y,Y
47,Pandian Express (12637),3:00,3:05,5 min,Y,Y,Y,Y,Y,Y,Y
48,Pandian Express (12638),23:05,23:10,5 min,Y,Y,Y,Y,Y,Y,Y
49,Rameswaram Express (16618),0:10,0:15,5 min,N,Y,N,N,N,N,N
50,Silambu Express (16181),3:15,3:20,5 min,N,N,Y,N,N,Y,N
51,Howrah Tiruchirappalli Express (12663),4:15,Ends,NA,N,N,N,Y,N,N,Y
52,Chennai Express (22624),23:45,23:50,5 min,N,N,N,Y,N,Y,N
53,Silambu Express (16182),23:45,23:55,10 min,N,N,N,Y,N,N,Y
54,Puducherry Cape Kanniyakumari Express (16861),17:05,17:15,10 min,N,N,N,Y,N,N,N
55,Madurai Express (11043),8:35,8:40,5 min,N,N,N,N,Y,N,N
56,Puducherry Express (16862),22:45,22:55,10 min,N,N,N,N,Y,N,N
57,Vasco-Da-Gama - Vellankanni Express (07325),3:15,3:25,10 min,N,N,N,N,N,N,Y
58,Vellankanni - Vasco-Da-Gama Express (07326),1:00,1:20,20 min,Y,N,N,N,N,N,N
59,Kacheguda Express (17616),15:45,15:55,10 min,N,N,N,N,N,N,Y
60,Kannyakumari Express (12665),3:15,3:20,5 min,Y,N,N,N,N,N,N
61,Tirupati - Rameswaram Express (16779),1:30,1:40,10 min,N,Y,N,N,Y,N,Y
62,Nagarcoil Express (16351),19:00,19:10,10 min,N,Y,N,N,N,Y,N
63,Tiruchendur Express (16105),23:35,23:40,5 min,Y,Y,Y,Y,Y,Y,Y
64,Tiruchendur Chennai Express (16106),3:25,3:30,5 min,Y,Y,Y,Y,Y,Y,Y
65,Ernakulam Express (16187),20:00,20:10,10 min,Y,Y,Y,Y,Y,Y,Y
66,Ernakulam Karaikal Express (16188),7:40,7:50,10 min,Y,Y,Y,Y,Y,Y,Y
67,Rameswaram Express (16101),5:20,5:30,10 min,Y,Y,Y,Y,Y,Y,Y
68,Chennai Express (16102),22:30,22:35,5 min,Y,Y,Y,Y,Y,Y,Y
69,Pallavan Express (12606),6:15,6:30,15 min,Y,Y,Y,Y,Y,Y,Y
70,Pallavan Express (12605),21:20,21:25,5 min,Y,Y,Y,Y,Y,Y,Y
71,Trichy Express (16853),16:35,Ends,NA,Y,Y,Y,Y,Y,Y,Y
72,Chennai Express (16854),Starts,9:35,NA,Y,Y,Y,Y,Y,Y,Y
73,Chennai Egmore - Guruvayur Express (16127),13:10,13:15,5 min,Y,Y,Y,Y,Y,Y,Y
74,Kanniyakumari Express (12633),22:50,22:55,5 min,Y,Y,Y,Y,Y,Y,Y
75,Guruvayur - Chennai Express (16128),14:05,14:10,5 min,Y,Y,Y,Y,Y,Y,Y
76,Rameswaram Express (16713),22:25,22:35,10 min,Y,Y,Y,Y,Y,Y,Y
77,Rameswaram Chennai Express (16714),1:45,1:50,5 min,Y,Y,Y,Y,Y,Y,Y
78,Kanniyakumari Express (12634),0:30,0:35,5 min,Y,Y,Y,Y,Y,Y,Y
79,Vellankanni - Vasco-Da-Gama Express (17316),3:00,3:10,10 min,N,Y,N,N,N,N,N
80,Puducherry Express (16858),5:15,5:25,10 min,N,N,N,N,N,N,Y
81,Chemmozhi Express (16615),22:35,22:45,10 min,Y,Y,Y,Y,Y,Y,Y
82,Jan Shatabdi Express (12083),16:50,17:00,10 min,Y,N,Y,Y,Y,Y,Y
83,Jan Shatabdi Express (12084),10:55,11:05,10 min,Y,N,Y,Y,Y,Y,Y
84,Nellai Express (12631),2:05,2:10,5 min,Y,Y,Y,Y,Y,Y,Y
85,Nellai Express (12632),1:00,1:05,5 min,Y,Y,Y,Y,Y,Y,Y
86,Vaigai Express (12635),18:30,18:35,5 min,Y,Y,Y,Y,Y,Y,Y
87,Vaigai Express (12636),8:55,9:00,5 min,Y,Y,Y,Y,Y,Y,Y
88,Sampark Kranti (12651),2:55,3:00,5 min,N,Y,N,N,N,N,Y
89,Chemmozhi Express (16616),4:40,4:50,10 min,Y,Y,Y,Y,Y,Y,Y
90,Rameswaram Varanasi Express (14259),4:10,4:15,5 min,N,N,Y,N,N,N,N
91,Nagercoil Mumbai Express (16352),12:25,12:30,5 min,N,N,N,Y,N,N,Y
92,Rameswaram - Tiruchirappalli Express (16780),22:00,22:10,10 min,Y,N,N,Y,N,Y,N
93,Nagercoil Express (12667),0:30,0:35,5 min,N,N,N,Y,N,N,N
94,Nagercoil Express (12689),3:35,3:40,5 min,N,N,N,N,Y,N,N
95,Bhubaneswar - Rameswaram Express (18496),17:05,17:15,10 min,N,N,N,N,Y,N,N
96,Chennai Express (12668),23:45,23:55,10 min,N,N,N,N,Y,N,N
97,Kacheguda - Madurai Express (17615),3:35,3:40,5 min,N,N,N,N,N,Y,N
98,Mangalore Express (16857),20:40,20:50,10 min,N,N,N,N,N,Y,N
99,Kanniyakumari Cape Howrah Express (12666),15:45,16:00,15 min,N,N,N,N,N,Y,N
100,Tuticorin - Chennai Express Ms (16130),14:05,14:10,5 min,Y,Y,Y,Y,Y,Y,Y
101,Bhubaneswar Express (18495),13:35,13:40,5 min,N,N,N,N,N,N,Y
102,Velankanni Express (17315),8:10,8:20,10 min,Y,N,N,N,N,N,N
103,Nagercoil Chennai Express (12690),2:55,3:00,5 min,N,N,N,N,N,N,Y
104,Terminus N Sampark Kranti (12652),0:30,0:35,5 min,N,Y,N,Y,N,N,N
105,Kacheguda Express (16354),15:45,15:55,10 min,N,Y,N,N,N,N,N
106,Chennai Egmore Ms Ten Premium (00607),2:10,2:15,5 min,N,N,Y,N,N,N,N
107,Chennai Egmore Ms - Mangalore Express (16859),4:50,5:00,10 min,Y,Y,Y,Y,Y,Y,Y
108,Mas Chennai Central Express (16860),21:50,22:00,10 min,Y,Y,Y,Y,Y,Y,Y
109,Thirukkural Express (12642),0:30,0:35,5 min,Y,N,N,N,N,Y,N
110,Nagercoil - Chennai Egmore Ms Express (06352),23:48,23:50,2 min,Y,N,N,N,N,N,N
111,Chennai Egmore Ms - Nagercoil Premium (00611),20:43,20:45,2 min,N,Y,N,N,N,N,N
112,Chennai Egmore Ms Nagercoil Express (06351),20:43,20:45,2 min,N,N,N,N,Y,N,N
113,Yesvantpur Express (06599),23:30,23:35,5 min,N,N,N,N,N,N,Y
114,Ten Chennai Egmore Ms Express (06716),23:45,23:50,5 min,N,N,N,N,N,N,Y
115,Ten Express (06715),5:55,6:00,5 min,Y,N,N,N,N,N,N
116,Nagercoil Pnbe Express (06354),15:05,15:10,5 min,N,N,N,N,N,N,Y
117,Ten Jammu Express (16787),22:30,22:35,5 min,Y,N,N,N,Y,N,N
118,Mysore Express (16231),20:25,20:35,10 min,Y,Y,Y,Y,Y,Y,Y
119,Himsagar Express (16318),11:45,11:50,5 min,Y,N,N,N,N,N,N
120,Tirukkural Express (12641),2:55,3:00,5 min,N,N,Y,N,Y,N,N
121,Mailaduturai Express (16232),3:55,4:05,10 min,Y,Y,Y,Y,Y,Y,Y
122,Pearl City Express (12693),0:50,0:55,5 min,Y,Y,Y,Y,Y,Y,Y
123,Rock Fort Express (16177),5:30,Ends,NA,Y,Y,Y,Y,Y,Y,Y
124,Lokamanya Tt Express (11044),20:45,20:50,5 min,N,N,N,N,N,Y,N
125,Kacheguda Nagercoil Express (16353),12:40,12:45,5 min,N,N,Y,N,N,N,N
126,Chennai Egmore Ms - Tuticorin Link Express (16129),13:10,13:15,5 min,Y,Y,Y,Y,Y,Y,Y
127,Rockfort Express (16178),Starts,22:25,NA,Y,Y,Y,Y,Y,Y,Y
128,Pearl City Express (12694),1:25,1:30,5 min,Y,Y,Y,Y,Y,Y,Y
129,Navyug Express (16688),16:45,16:50,5 min,N,N,N,Y,N,N,N
130,Anantapuri Express (16724),1:55,2:00,5 min,Y,Y,Y,Y,Y,Y,Y
131,Anantapuri Express (16723),1:55,2:00,5 min,Y,Y,Y,Y,Y,Y,Y
132,Rameswaram Muv Express (15119),4:10,4:15,5 min,N,N,Y,N,N,N,N
133,Manduadih - Rameswaram Express (15120),18:25,18:30,5 min,N,N,N,N,N,N,Y
