Sl.No,Week/Daily,Time(Departure),Passengers in No's,Place - From,Place - To,Air Service Timings
1,Sunday,1.4,17413,Tirupati,Puduchery,No Air-Port in this District
2,Monday,4.3,11005,DADAR,Puducherry,No Air-Port in this District
3,Tuesday,5,17780,Rameshwaram,Tirupati,No Air-Port in this District
4,Wednesday,10.35,17414,Puducherry,Tirupathi,No Air-Port in this District
5,Thursday,11.2,17408,Mannargudi,Tirupathy,No Air-Port in this District
6,Friday,17.55,17779,Tirupathy,Rameswaram,No Air-Port in this District
7,Saturday,22.4,11006,Puducherry,DADAR,No Air-Port in this District
8,Monday,NA,NA,NA,NA,No Air-Port in this District
9,Tuesday,4.3,11005,DADAR,Puducherry,No Air-Port in this District
10,Wednesday,4.35,17780,Rameswaram,Tirupathy,No Air-Port in this District
11,Thursday,12.49,22604,Villupuram,Kharagpur,No Air-Port in this District
12,Friday,15.12,17407,Tirupathy,Mannargudi,No Air-Port in this District
13,Saturday,17.55,17779,Tirupathy,Rameswaram,No Air-Port in this District
14,Sunday,19.25,22605,Purulia,Villupuram,No Air-Port in this District
15,Monday,20.05,56886,Villupuram,Katpadi,No Air-Port in this District
16,Tuesday,22.4,11006,Puducherry,Dadar,No Air-Port in this District
17,Wednesday,4.3,11005,DADAR,Puducherry,No Air-Port in this District
18,Thursday,11.2,17408,Mannargudi,Tirupathi,No Air-Port in this District
19,Friday,12.49,22604,Villupuram,Kharagpur,No Air-Port in this District
20,Saturday,22.5,11006,Puducherry,DADAR,No Air-Port in this District
21,Thursday,15.12,17407,Tirupati,Mannarkudi,No Air-Port in this District
22,Friday,4.35,17780,Rameshwaram,Tirupati,No Air-Port in this District
23,Saturday,11.2,17408,Mannarkudi,Tirupati,No Air-Port in this District
24,Sunday,17.3,17779,Tirupati,Rameshwaram,No Air-Port in this District
25,Monday,19.25,22603,Korakpur,Vilupuram,No Air-Port in this District
26,Saturday,12.49,22606,Vilupuram,Purulia,No Air-Port in this District
27,Sunday,15.12,17407,Tirupati,Mannarkudi,No Air-Port in this District
28,Monday,19.25,22603,Kharagpur,Vilupuram,No Air-Port in this District
29,Daily Passenger,6.3,56882,Vilupuram,Thirupati,No Air-Port in this District
30,Daily Passenger,7.15,56881,Katpadi,Vilupuram,No Air-Port in this District
31,Daily Passenger,9,56883,Thirupathi,Vilupuram,No Air-Port in this District
32,Daily Passenger,18.15,56884,Vilupuram,Thirupati,No Air-Port in this District
33,Daily Passenger,18.4,56885,Thirupathi,Vilupuram,No Air-Port in this District
34,Daily Passenger,20.1,56886,Vilupuram,Katpadi,No Air-Port in this District
