S.No,Train Number,Details of Train,Train Arrival Timings,Train Departure Timings
1,11043,Kurla - Madurai Express (Saturday),0.05,0.10
2,40702 / 40752,Tirumalpur - Chennai Beach,5.29,5.30
3,56003,Arakkonam - Chengalpattu Fast,6.25,6.26
4,40704 / 40754,Tirumalpur - Chennai Beach,7.19,7.20
5,40706 / 40756,Tirumalpur - Chennai Beach,8.14,8.15
6,56041,Tirupati - Puducherry Express,8.25,8.26
7,40802,Kancheepuram - Chennai Beach,NA,9.10
8,40708 / 40758,Tirumalpur - Chennai Beach,10.39,10.40
9,16351,Mumbai - Tirupati - Nagercoil Express,12.18,12.20
10,66042,Tirumalpur - Chennai Beach,13.59,14.00
11,40712 / 40762,Tirumalpur - Chennai Beach,17.24,17.25
12,56005,Arakkonam - Chengalpattu,18.04,18.05
13,40804,Kancheepuram - Chennai Beach,NA,19.20
14,40902,Tirumalpur - Chengalpattu,21.14,21.15
15,11044,Madurai - Kurla Express (Saturday),2.00,2.05
16,40901,Chengalpattu - Tirumalpur,6.00,6.02
17,40801,Chennai Beach - Kancheepuram,8.15,NA
18,56006,Chengalpattu - Arakkonam,8.58,9.00
19,40701 / 40751,Chennai Beach - Tirumalpur,9.33,9.34
20,66041,Chennai Beach - Tirumalpur,12.23,12.24
21,40705 / 40755,Chennai Beach - Tirumalpur,16.04,16.05
22,40803,Chennai Beach - Kancheepuram,18.15,NA
23,16352,Nagercoil - Mumbai Express (Thursday and Sunday),18.23,18.25
24,56042,Puducherry - Tirupati Passenger,19.02,19.03
25,40707 / 40757,Chennai Beach - Tirumalpur Fast,20.11,20.12
26,56004,Chengalpattu - Arakkonam,21.00,21.02
27,40709 / 40759,Chennai Beach - Tirumalpur,21.43,21.44
28,40711,Chennai Beach - Tirumalpur,22.31,22.32
